Date	02.07.2018	
Operator	JL	
Comment extern		
Reference Spectrum	AM 1.5g	
Irradiance / W/m²	1000	
Temperature / °C	25	
Sample Type	solar cell	
Manufacturer	-	
Material	monocrystalline silicon	
Customer	Fraunhofer ISE	
Ext. ID	044-2017	
Int. ID	ISE002	
Order-No.	134ISE0618	
Area / cm²	4	
Mismatch Factor	0.9989	
Inhomogeneity Factor	1	
Simulator	XAT	
Ref. Cell ID	040-2002	
Monitor Mcal / mV	122.8925	
Isc / mA	52.1073	
		
Voc / mV	616.0618	
Impp / mA	49.6027	
		
Vmpp / mV	534.2369	
FF / %	82.5499	
Pmpp / mW	26.4996	
		
		
Voltage / mV	Current / mA	Power / mW
***		
-100.555	52.10751	-5.239670668
-84.008	52.11356	-4.377955948
-80.772	52.11709	-4.209601593
-63.798	52.14109	-3.32649726
-60.852	52.13544	-3.172545795
-43.727	52.10664	-2.278467047
-41.14	52.10842	-2.143740399
-23.665	52.1076	-1.233126354
-21.114	52.10309	-1.100104642
-3.999	52.09173	-0.208314828
-1.082	52.09559	-0.056367428
16.494	52.10301	0.859387047
19.284	52.10338	1.00476158
36.129	52.1136	1.882812254
38.713	52.11387	2.017484249
56.376	52.1069	2.937578594
59.394	52.1028	3.094593703
76.392	52.08555	3.978919336
78.791	52.08521	4.103845781
95.782	52.07133	4.98749613
98.775	52.06958	5.143172765
116.194	52.08016	6.051402111
118.976	52.08236	6.196550863
136.364	52.09594	7.104010762
138.798	52.09621	7.230849756
156.133	52.09095	8.133116296
158.698	52.09059	8.266672452
176.202	52.07299	9.175364984
179.065	52.07323	9.32449293
196.305	52.09582	10.22666995
198.759	52.09575	10.35449917
216.1	52.08558	11.25569384
218.64	52.08602	11.38808741
236.52	52.09248	12.32091337
238.94	52.09133	12.44670239
255.81	52.07096	13.32027228
258.57	52.06933	13.46356666
275.93	52.06412	14.36605263
278.6	52.06457	14.5051892
295.99	52.09386	15.41926162
298.41	52.09412	15.54540635
316.1	52.06454	16.45760109
318.84	52.06254	16.59962025
336.18	52.04866	17.49771852
338.49	52.04852	17.61790353
356.03	52.08845	18.54505085
358.85	52.09014	18.69254674
376.2	52.06449	19.58666114
379.13	52.06406	19.73904707
395.95	52.06849	20.61651862
398.8	52.06634	20.76405639
416.17	52.02941	21.65307956
418.01	52.02469	21.74684067
435.55	51.99391	22.6459475
437.51	51.98975	22.74603552
454.91	51.95337	23.63410755
457.29	51.94482	23.75384674
473.51	51.83209	24.54301294
475.84	51.81008	24.65330847
490.59	51.62068	25.3245894
492.7	51.57698	25.41197805
505.98	51.24497	25.92892992
508	51.1802	25.9995416
519.39	50.6728	26.31894559
520.88	50.58573	26.34909504
530.16	49.94475	26.47870866
531.27	49.85293	26.48536612
539.32	49.06629	26.46243152
540.27	48.95897	26.45106272
547.11	48.0578	26.29290296
547.91	47.93065	26.26168244
553.41	46.93425	25.97388329
554.13	46.79191	25.92880109
558.92	45.75181	25.57160165
559.48	45.61814	25.52243697
563.72	44.51294	25.09283454
564.2	44.37318	25.03534816
567.81	43.22752	24.54501813
568.24	43.0766	24.47784718
571.28	41.88846	23.93003943
571.66	41.73589	23.85873888
574.6	40.53114	23.28919304
574.97	40.37098	23.21210237
577.67	39.16719	22.62571065
578.06	38.98151	22.53365167
580.41	37.76264	21.91781388
580.77	37.56684	21.81769367
582.94	36.33116	21.17888641
583.23	36.1637	21.09175475
585.41	34.88751	20.42349723
585.66	34.72929	20.33955598
587.57	33.44341	19.65034441
587.83	33.26209	19.55245436
589.59	31.98881	18.86028249
589.84	31.80452	18.75957808
591.54	30.54089	18.06615807
591.87	30.28496	17.92475928
593.37	29.05803	17.24216326
593.67	28.8026	17.09923954
595.06	27.56173	16.40088305
595.33	27.31579	16.26190926
596.69	26.06324	15.55167468
596.93	25.84384	15.42696341
598.34	24.53389	14.67960774
598.53	24.34418	14.57072206
599.8	23.02372	13.80962726
599.99	22.82062	13.69214379
601.18	21.50722	12.92971052
601.36	21.30388	12.81130128
602.51	19.99197	12.04536184
602.7	19.77322	11.91731969
603.81	18.47581	11.15587884
604.02	18.22051	11.00555245
605.02	17.01572	10.29485091
605.36	16.61705	10.05929739
606.29	15.43115	9.355751934
606.5	15.14873	9.187704745
607.44	13.89021	8.437469162
607.66	13.58842	8.257139297
608.53	12.34962	7.515114259
608.72	12.07738	7.351742754
609.61	10.80789	6.588597823
609.81	10.5181	6.414042561
610.67	9.229937	5.636445628
610.83	8.984726	5.488140183
611.67	7.697803	4.708515161
611.85	7.417665	4.53849833
